fecha_programacion,distrito_nombre,producto,familia,familia_codigo,cliente,volumen_programado,canal
2026-09-14,Villamontes,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,COOPERATIVA DE SERVICIOS AGUARAGUE R.L.,5000.0,
2026-09-14,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,10000.0,
2026-09-14,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,6000.0,
2026-09-14,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L.,10000.0,
2026-09-14,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,10000.0,
2026-09-14,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L.,25000.0,
2026-09-14,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,25000.0,
2026-09-12,Villamontes,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,COOPERATIVA DE SERVICIOS AGUARAGUE R.L.,3000.0,
2026-09-12,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,15000.0,
2026-09-12,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L.,20000.0,
2026-09-12,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,15000.0,
2026-09-12,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,11000.0,
2026-09-12,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L.,35000.0,
2026-09-12,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,35000.0,
2026-09-11,Villamontes,GASOLINA ESPECIAL CF,Gasolina Especial,GASOLINA_ESPECIAL,EMRIDE SRL,19000.0,
2026-09-11,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L.,25000.0,
2026-09-11,Villamontes,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,COOPERATIVA DE SERVICIOS AGUARAGUE R.L.,5000.0,
2026-09-11,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,10000.0,
2026-09-11,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L.,20000.0,
2026-09-11,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,15000.0,
2026-09-11,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,6000.0,
2026-09-11,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,25000.0,
2026-09-10,Villamontes,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,COOPERATIVA DE SERVICIOS AGUARAGUE R.L.,5000.0,
2026-09-10,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,10000.0,
2026-09-10,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L.,10000.0,
2026-09-10,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,15000.0,
2026-09-10,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,6000.0,
2026-09-10,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L.,25000.0,
2026-09-10,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,25000.0,
2026-09-09,Villamontes,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,COOPERATIVA DE SERVICIOS AGUARAGUE R.L.,5000.0,
2026-09-09,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,10000.0,
2026-09-09,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L.,10000.0,
2026-09-09,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,10000.0,
2026-09-09,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,6000.0,
2026-09-09,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L.,20000.0,
2026-09-09,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,20000.0,
2026-09-08,Villamontes,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,COOPERATIVA DE SERVICIOS AGUARAGUE R.L.,5000.0,
2026-09-08,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,10000.0,
2026-09-08,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L.,10000.0,
2026-09-08,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,10000.0,
2026-09-08,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,6000.0,
2026-09-08,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L.,25000.0,
2026-09-08,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,25000.0,
2026-09-07,Villamontes,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,COOPERATIVA DE SERVICIOS AGUARAGUE R.L.,5000.0,
2026-09-07,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,10000.0,
2026-09-07,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO CAIGUAMI S.R.L.,10000.0,
2026-09-07,Villamontes,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ENZO J. IRADY CESPEDES- E.S. EL CHANAR,10000.0,
2026-09-07,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L. SUCURSAL 1,6000.0,
2026-09-07,Villamontes,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,ESTACION DE SERVICIO CAIGUAMI S.R.L.,20000.0,
