fecha_programacion,distrito_nombre,producto,familia,familia_codigo,cliente,volumen_programado,canal
2026-09-14,Santa Cruz,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DIST. URBANA CENTRO GAS SUC. SANTA CRUZ - CABEZAS - CARMEN ROSARIO MELGAREJO GONZALES,6160.0,
2026-09-14,Santa Cruz,GLP DISTRIB. 45 KILOS NAL,GLP,GLP,DIST. GLP. CRUCEÑITA VASA S.R.L.,19800.0,
2026-09-14,Santa Cruz,DIESEL OIL IMPORTADO GRACO,Diesel Oil Importado,DIESEL_IMPORTADO,SERVIAGRICOLA DEL SUR SRL,35000.0,
2026-09-14,Santa Cruz,DIESEL OIL IMPORTADO GRACO,Diesel Oil Importado,DIESEL_IMPORTADO,AGROPECUARIA BOLFARM S.A.,35000.0,
2026-09-14,Santa Cruz,GLP DISTRIB. 45 KILOS NAL,GLP,GLP,DIST. GLP. ALTAMARGAS Juan Pablo Melgarejo Iriarte,3600.0,
2026-09-14,Santa Cruz,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,JYRL GAS SUCURSAL CABEZAS CALLE TAJIBO - LOURDES MORALES DE QUIROZ,35000.0,
2026-09-14,Santa Cruz,DIESEL OIL IMPORTADO CF,Diesel Oil Importado,DIESEL_IMPORTADO,JOHAN FEHR HARMS,19900.0,
2026-09-14,Santa Cruz,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,GONZALES A. RONALD LEONEL - DIST. CORDIGAS,14000.0,
2026-09-14,Santa Cruz,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DIST. GLP. OSCAR GAS - Betty Maldonado,39000.0,
2026-09-14,Santa Cruz,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DIST. GLP TURISMO GAS - JOSE FRANKLIN ORQUERA PAZ,10510.0,
2026-09-14,Santa Cruz,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DIST. DE GLP EL CUMPITO-EMILIO ELIAS ROBLES SUMOYA,19440.0,
2026-09-14,Santa Cruz,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CENTER GAS - RICHARD MAMANI VILLCA,23150.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + CF,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,CEREALES DEL ESTE SA,10000.0,
2026-09-14,Santa Cruz,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO TORRIAYALA S.R.L.,30000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + (S/DSI),Gasolina Especial +,GASOLINA_ESPECIAL_MAS,REFINERIA ORIENTAL S.A. SUC. NOR ESTE,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + (S/DSI),Gasolina Especial +,GASOLINA_ESPECIAL_MAS,REFINERIA ORIENTAL S.A.,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + (S/DSI),Gasolina Especial +,GASOLINA_ESPECIAL_MAS,R&E 3000 S.R.L.,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + (S/DSI),Gasolina Especial +,GASOLINA_ESPECIAL_MAS,LAS PALMAS S.R.L.,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,SURTIDOR LOS NEGROS - NERY TABOADA CONTRERAS,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,SURTIDOR EL PATUJU - ROGELIO LA FUENTE OLIVERA,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,SURTIDOR ACIPA - SJ S.R.L.,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,GOTEON S.R.L.,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO VELEZ-HEBERTH VELEZ CORTEZ,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO SOMOS GAS SRL,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO SAYE S.R.L.,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO SAN JOSE DE YAPACANI S.R.L.,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO SAN JAVIER-MARISOL NEGRETE AGUIRRE,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO PORTACHUELO LTDA,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO PAULINA S.R.L.,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO MONTERO - MARIA DEL ROSARIO COLQUE QUIROZ,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO MINERO-JHONNY QUINTEROS VASQUEZ,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO MACONDO,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO LOS BIBOSIS S.R.L.,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO LA GUARDIA,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO LA CUEVA - ROLANDO CHAVEZ VACA,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO ICHILO SRL,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO FLORES-SIMONA FLORES FLORES,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO EUSE CRUZ,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO EL TINTO S.R.L.,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO EL TAJIBO OKINAWA,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO EL MIRADOR - SONIA SORUCO ROCA,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO EL JUNTE-ALEJANDRA MARIEL BALCAZAR PAZ,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO EL JUNTE II-ALEJANDRA MARIEL BALCAZAR PAZ,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO EL BIBOSI MANANTIAL-LIMBERT JIMENEZ JALDIN,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO EL BIBOSI - MARIA CANDELARIA JUSTINIANO DE SUAREZ,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO EL BATO,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO EL AGRICULTOR-CLAUDINA PILLCO LOZA,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO CONCEPCION SRL,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO COLINDRES-CARMEN MARY IRIARTE BARBA,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO CASCABEL SUC. CUATRO CAÑADAS-YOHANA PAOLA VACA GUZMAN,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO ANTO - ANTONIO CARLOS LORGIO JUSTINIANO SANTOS,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,ESTACION DE SERVICIO AGUAI S.R.L.,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,"ESTACION DE SERVICIO ""S.J"" S.R.L.",20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,D-GAS S.A. SUCURSAL SANTA CRUZ,20000.0,
2026-09-14,Santa Cruz,GASOLINA ESPECIAL + EESS,Gasolina Especial +,GASOLINA_ESPECIAL_MAS,COMPAÑIA COMERCIALIZADORA BOLIVIANA DE HIDROCARBUROS CONFI S.R.L.,20000.0,
