fecha_programacion,distrito_nombre,producto,familia,familia_codigo,cliente,volumen_programado,canal
2026-09-14,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. HOTEL DE SAL PLAYA BLANCA-COROMA,5000.0,
2026-09-14,Uyuni,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTR. GLP ECO GAS UYUNI,3000.0,
2026-09-14,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. HOTEL DE SAL PLAYA BLANCA,10000.0,
2026-09-14,Uyuni,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE.SS. HOTEL DE SAL PLAYA BLANCA-COROMA,10000.0,
2026-09-14,Uyuni,DIESEL OIL IMPORTADO GRACO,Diesel Oil Importado,DIESEL_IMPORTADO,SOC. COLECTIVA COMUNITARIA MULTIACTIVA VINTO K,20000.0,
2026-09-14,Uyuni,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,EE.SS. HOTEL DE SAL PLAYA BLANCA,10000.0,
2026-09-14,Uyuni,GLP DISTRIB. 45 KILOS NAL,GLP,GLP,DISTR. GLP SOL GAS UYUNI,450.0,
2026-09-14,Uyuni,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTR. GLP SUR GAS UYUNI,7000.0,
2026-09-14,Uyuni,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTR. GLP SOL GAS UYUNI,7000.0,
2026-09-14,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. TRES GIGANTES LTDA.,10000.0,
2026-09-14,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. SAN CRISTOBAL S.R.L.,10000.0,
2026-09-14,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. GRUPO COLQUE S.R.L.,10000.0,
2026-09-14,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. DISTRIGAS,10000.0,
2026-09-14,Uyuni,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE.SS. TRES GIGANTES LTDA.,20000.0,
2026-09-14,Uyuni,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,EE.SS. SAN CRISTOBAL S.R.L.,10000.0,
2026-09-14,Uyuni,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,EE.SS. GRUPO COLQUE S.R.L.,10000.0,
2026-09-14,Uyuni,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,EE.SS. DISTRIGAS,15000.0,
2026-09-12,Uyuni,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,EE.SS. HOTEL DE SAL PLAYA BLANCA,20000.0,
2026-09-12,Uyuni,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,EE.SS. SAN CRISTOBAL S.R.L.,20000.0,
2026-09-12,Uyuni,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,EE.SS. GRUPO COLQUE S.R.L.,20000.0,
2026-09-12,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. SAN CRISTOBAL S.R.L.,15000.0,
2026-09-12,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. HOTEL DE SAL PLAYA BLANCA-COROMA,10000.0,
2026-09-12,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. HOTEL DE SAL PLAYA BLANCA,15000.0,
2026-09-12,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. GRUPO COLQUE S.R.L.,15000.0,
2026-09-12,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. DISTRIGAS,15000.0,
2026-09-12,Uyuni,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE.SS. HOTEL DE SAL PLAYA BLANCA-COROMA,10000.0,
2026-09-12,Uyuni,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,EE.SS. DISTRIGAS,20000.0,
2026-09-11,Uyuni,DIESEL OIL IMPORTADO GRACO,Diesel Oil Importado,DIESEL_IMPORTADO,CONST. OROSCONS S.R.L.,20000.0,
2026-09-11,Uyuni,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTR. GLP SUR GAS UYUNI,7000.0,
2026-09-11,Uyuni,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTR. GLP SOL GAS UYUNI,8000.0,
2026-09-11,Uyuni,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTR. GLP ECO GAS UYUNI,4500.0,
2026-09-11,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. TRES GIGANTES LTDA.,10000.0,
2026-09-11,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. SAN CRISTOBAL S.R.L.,15000.0,
2026-09-11,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. HOTEL DE SAL PLAYA BLANCA-COROMA,10000.0,
2026-09-11,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. HOTEL DE SAL PLAYA BLANCA,15000.0,
2026-09-11,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. GRUPO COLQUE S.R.L.,15000.0,
2026-09-11,Uyuni,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,EE.SS. DISTRIGAS,15000.0,
2026-09-11,Uyuni,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE.SS. TRES GIGANTES LTDA.,15000.0,
2026-09-11,Uyuni,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,EE.SS. HOTEL DE SAL PLAYA BLANCA-COROMA,10000.0,
2026-09-11,Uyuni,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,EE.SS. SAN CRISTOBAL S.R.L.,15000.0,
2026-09-11,Uyuni,DIESEL OIL IMPORTADO EESS,Diesel Oil Importado,DIESEL_IMPORTADO,EE.SS. HOTEL DE SAL PLAYA BLANCA,15000.0,
