fecha_programacion,distrito_nombre,producto,familia,familia_codigo,cliente,volumen_programado,canal
2026-09-14,Amazonico,DIESEL OIL NACIONAL GRACO,Diesel Oil Nacional,DIESEL_NACIONAL,MABET S.A.,15000.0,
2026-09-14,Amazonico,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,SIMON QUISPE NAVARRO-COOP. MINERA ASOBAL,7200.0,
2026-09-14,Amazonico,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,EMPRESA FORESTAL Y AGRICOLA BOLITAL LTDA,5000.0,
2026-09-14,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,"PUESTO DE VENTA DE GLP EN GARRAFA""TERMINAL""",1500.0,
2026-09-14,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,"PUESTO DE VENTA DE GLP EN GARRAFA""SAN JOSE""",1500.0,
2026-09-14,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,HIDROCARBUROS VACA DIEZ S.R.L,15000.0,
2026-09-14,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO GASPETROL S.R.L.,15000.0,
2026-09-14,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO AMAZONAS S.R.L.,15000.0,
2026-09-14,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,HIDROCARBUROS VACA DIEZ S.R.L,12000.0,
2026-09-14,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO AMAZONAS S.R.L.,12000.0,
2026-09-14,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA RIBERGAS S.R.L.,3500.0,
2026-09-14,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA HIDROCARBUROS VACA DIEZ II,3500.0,
2026-09-14,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CRISTO ASCENCION,3500.0,
2026-09-14,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,INTEGRACION RIBERALTA S.R.L.,15000.0,
2026-09-14,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO IMANOL,15000.0,
2026-09-14,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,INTEGRACION RIBERALTA S.R.L.,12000.0,
2026-09-14,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO IMANOL,15000.0,
2026-09-12,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,TRIANGULO ORIENTAL,12000.0,
2026-09-12,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,INTEGRACION RIBERALTA S.R.L.,20000.0,
2026-09-12,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,HIDROCARBUROS VACA DIEZ S.R.L,20000.0,
2026-09-12,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO GASPETROL S.R.L.,20000.0,
2026-09-12,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,TRIANGULO ORIENTAL,12000.0,
2026-09-12,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,INTEGRACION RIBERALTA S.R.L.,20000.0,
2026-09-12,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,HIDROCARBUROS VACA DIEZ S.R.L,20000.0,
2026-09-12,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO IMANOL,25000.0,
2026-09-12,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO AMAZONAS S.R.L.,25000.0,
2026-09-12,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO IMANOL,25000.0,
2026-09-12,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO AMAZONAS S.R.L.,25000.0,
2026-09-11,Amazonico,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,YUDY KAHUANA SOLIZ (COOP. MINERA ASOBAL),7200.0,
2026-09-11,Amazonico,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,ANTONIO MARCOS BASTOS SALAZAR,8000.0,
2026-09-11,Amazonico,DIESEL OIL NACIONAL GRACO,Diesel Oil Nacional,DIESEL_NACIONAL,INDUSTRIA MADERERA MARTINEZ SRL.,15000.0,
2026-09-11,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,"PUESTO DE VENTA DE GLP EN GARRAFA""TERMINAL""",3000.0,
2026-09-11,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,"PUESTO DE VENTA DE GLP EN GARRAFA""SAN JOSE""",3000.0,
2026-09-11,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA RIBERGAS S.R.L.,7000.0,
2026-09-11,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA HIDROCARBUROS VACA DIEZ II,7000.0,
2026-09-11,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CRISTO ASCENCION,7000.0,
2026-09-11,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,INTEGRACION RIBERALTA S.R.L.,15000.0,
2026-09-11,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,HIDROCARBUROS VACA DIEZ S.R.L,15000.0,
2026-09-11,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO PETRORIBER S.R.L.,15000.0,
2026-09-11,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO IMANOL,15000.0,
2026-09-11,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO GASPETROL S.R.L.,15000.0,
2026-09-11,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO AMAZONAS S.R.L.,15000.0,
2026-09-11,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,INTEGRACION RIBERALTA S.R.L.,12000.0,
2026-09-11,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,HIDROCARBUROS VACA DIEZ S.R.L,12000.0,
2026-09-11,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO PETRORIBER S.R.L.,14000.0,
2026-09-11,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO IMANOL,15000.0,
2026-09-11,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO AMAZONAS S.R.L.,15000.0,
2026-09-11,Amazonico,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,EXOMAD INDUSTRIA MADERERA S.A,5000.0,
2026-09-10,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,"PUESTO DE VENTA DE GLP EN GARRAFA""TERMINAL""",1500.0,
2026-09-10,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,"PUESTO DE VENTA DE GLP EN GARRAFA""SAN JOSE""",1500.0,
2026-09-10,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA RIBERGAS S.R.L.,3500.0,
2026-09-10,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA HIDROCARBUROS VACA DIEZ II,12500.0,
2026-09-10,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CRISTO ASCENCION,3500.0,
2026-09-10,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,INTEGRACION RIBERALTA S.R.L.,15000.0,
2026-09-10,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,HIDROCARBUROS VACA DIEZ S.R.L,15000.0,
2026-09-10,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO IMANOL,15000.0,
2026-09-10,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO GASPETROL S.R.L.,15000.0,
2026-09-10,Amazonico,GASOLINA ESPECIAL EESS,Gasolina Especial,GASOLINA_ESPECIAL,ESTACION DE SERVICIO AMAZONAS S.R.L.,15000.0,
2026-09-10,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,INTEGRACION RIBERALTA S.R.L.,12000.0,
2026-09-10,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,HIDROCARBUROS VACA DIEZ S.R.L,12000.0,
2026-09-10,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO IMANOL,15000.0,
2026-09-10,Amazonico,DIESEL OIL NACIONAL EESS,Diesel Oil Nacional,DIESEL_NACIONAL,ESTACION DE SERVICIO AMAZONAS S.R.L.,15000.0,
2026-09-10,Amazonico,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,MADERERA ZALLES,5000.0,
2026-09-10,Amazonico,DIESEL OIL NACIONAL CF,Diesel Oil Nacional,DIESEL_NACIONAL,ALEJANDRO HUARCASI CEREZO - COOP. MINERA ASOBAL,7200.0,
2026-09-09,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,"PUESTO DE VENTA DE GLP EN GARRAFA""TERMINAL""",1500.0,
2026-09-09,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,"PUESTO DE VENTA DE GLP EN GARRAFA""SAN JOSE""",1500.0,
2026-09-09,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA RIBERGAS S.R.L.,3500.0,
2026-09-09,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,DISTRIBUIDORA HIDROCARBUROS VACA DIEZ II,3500.0,
2026-09-09,Amazonico,GLP DISTRIB. 10 KILOS NAL,GLP,GLP,CRISTO ASCENCION,3500.0,
