fecha_despacho_efectivo,fecha_despacho_programado,despacho_confirmado,fecha_despacho_difiere_de_programado,distrito_nombre,producto_despachado,cantidad_despachada,unidad,cliente,placa_despacho,familia,familia_codigo,ambito,fecha_despacho_efectivo_hora
2026-09-14,2026-09-14,True,False,Tupiza,DIESEL OIL IMPORTADO CF,19900.0,L,EMPR. MINERA BEDROCK S.R.L.,4093-PFA,Diesel Oil Importado,DIESEL_IMPORTADO,,
2026-09-14,2026-09-14,True,False,Tupiza,DIESEL OIL NACIONAL EESS,10000.0,L,EE.SS. SANTIAGO DE COTAGAITA,3475-NNF,Diesel Oil Nacional,DIESEL_NACIONAL,,
2026-09-14,2026-09-14,True,False,Tupiza,GASOLINA ESPECIAL EESS,10000.0,L,EE.SS. SANTIAGO DE COTAGAITA,3475-NNF,Gasolina Especial,GASOLINA_ESPECIAL,,
2026-09-14,2026-09-14,True,False,Tupiza,GASOLINA ESPECIAL EESS,5000.0,L,EE.SS. PETRO CENTER,4093-PGD,Gasolina Especial,GASOLINA_ESPECIAL,,
2026-09-14,2026-09-14,True,False,Tupiza,DIESEL OIL IMPORTADO EESS,10000.0,L,EE.SS. PETRO CENTER,4093-PGD,Diesel Oil Importado,DIESEL_IMPORTADO,,
2026-09-14,2026-09-14,True,False,Tupiza,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTR. GLP GAS SANTI,4244-FBG,GLP,GLP,,
2026-09-14,2026-09-14,True,False,Tupiza,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTR. GLP POPY GAS,1337-FBY,GLP,GLP,,
2026-09-14,2026-09-14,True,False,Tupiza,GASOLINA ESPECIAL EESS,10000.0,L,EE.SS. 4 DE JUNIO,5646-UAD,Gasolina Especial,GASOLINA_ESPECIAL,,
2026-09-14,2026-09-14,True,False,Tupiza,GASOLINA ESPECIAL EESS,5000.0,L,EE.SS. 4 DE JUNIO,5646-UAD,Gasolina Especial,GASOLINA_ESPECIAL,,
2026-09-14,2026-09-14,True,False,Tupiza,DIESEL OIL IMPORTADO EESS,20000.0,L,EE.SS. 4 DE JUNIO,5646-UAD,Diesel Oil Importado,DIESEL_IMPORTADO,,
2026-09-14,2026-09-14,True,False,Tupiza,GASOLINA ESPECIAL EESS,10000.0,L,EE.SS. PETRO CENTER,852-PGY,Gasolina Especial,GASOLINA_ESPECIAL,,
2026-09-11,2026-09-11,True,False,Tupiza,DIESEL OIL IMPORTADO EESS,10000.0,L,EE.SS. PETRO CENTER,852-PGY,Diesel Oil Importado,DIESEL_IMPORTADO,,
2026-09-11,2026-09-11,True,False,Tupiza,DIESEL OIL IMPORTADO CF,15000.0,L,EMPR. MINERA CAZON S.R.L.,4093-PFA,Diesel Oil Importado,DIESEL_IMPORTADO,,
2026-09-11,2026-09-11,True,False,Tupiza,GASOLINA ESPECIAL EESS,5000.0,L,EE.SS. PETRO CENTER,852-PGY,Gasolina Especial,GASOLINA_ESPECIAL,,
2026-09-11,2026-09-11,True,False,Tupiza,DIESEL OIL IMPORTADO EESS,20000.0,L,EE.SS. 4 DE JUNIO,5646-UAD,Diesel Oil Importado,DIESEL_IMPORTADO,,
2026-09-11,2026-09-11,True,False,Tupiza,GASOLINA ESPECIAL EESS,5000.0,L,EE.SS. 4 DE JUNIO,5646-UAD,Gasolina Especial,GASOLINA_ESPECIAL,,
2026-09-11,2026-09-11,True,False,Tupiza,DIESEL OIL NACIONAL EESS,10000.0,L,EE.SS. SANTIAGO DE COTAGAITA,3475-NNF,Diesel Oil Nacional,DIESEL_NACIONAL,,
2026-09-11,2026-09-11,True,False,Tupiza,GASOLINA ESPECIAL EESS,10000.0,L,EE.SS. SANTIAGO DE COTAGAITA,3475-NNF,Gasolina Especial,GASOLINA_ESPECIAL,,
2026-09-11,2026-09-11,True,False,Tupiza,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTR. GLP GAS SANTI,3621-YRI,GLP,GLP,,
2026-09-11,2026-09-11,True,False,Tupiza,GLP DISTRIB. 10 KILOS NAL,4000.0,L,AGENCIA CANTONAL SEVERINO CAYO,956-PTA,GLP,GLP,,
2026-09-11,2026-09-11,True,False,Tupiza,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTR. GLP POPY GAS,2586-YHY,GLP,GLP,,
2026-09-10,2026-09-10,True,False,Tupiza,GLP DISTRIB. 10 KILOS NAL,1000.0,L,DISTR. GLP POPY GAS,5745-CFA,GLP,GLP,,
