fecha_despacho_efectivo,fecha_despacho_programado,despacho_confirmado,fecha_despacho_difiere_de_programado,distrito_nombre,producto_despachado,cantidad_despachada,unidad,cliente,placa_despacho,familia,familia_codigo,ambito,fecha_despacho_efectivo_hora,estacion
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,3000.0,L,"DISTRIBUIDORA DE GLP ""LUBRIGAS"" (EDWIN SANTOS ABAN CANDIA)",097-UNI,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,2300.0,L,"DISTRIBUIDORA DE GAS LICUADO ""MAGDAGAS"" - GIANNY VIOLETA RIOS VELIZ",1272-AYF,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,3000.0,L,PEDRO IGNACIO MUIBA (PUESTO DE VENTA GLP) EDWIN SANTOS ABAN CANDIA,1191 GKN,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,1500.0,L,"DISTRIBUIDORA DE GLP ""LUBRIGAS"" (EDWIN SANTOS ABAN CANDIA)",326-ATA,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 45 KILOS NAL,1350.0,L,DISTRIBUIDORA DE GLP ROGAS S.R.L.,549-BFU,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,2000.0,L,"PUESTO DE VENTA DE GLP ""BELLA VISTA S.R.L.""",1338-TTB,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,320.0,L,"PUESTO DE VENTA DE GLP ""SAN VICENTE S.R.L.""",1338-TTB,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,440.0,L,"PUESTO DE VENTA DE GLP ""LAS BRISAS S.R.L.""",1338-TTB,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,500.0,L,DISTRIBUIDORA DE GLP ROGAS S.R.L.,1338-TTB,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,4500.0,L,DISTRIBUIDORA DE GLP ROGAS S.R.L.,1338-TTB,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,1560.0,L,"PUESTO DE VENTA DE GLP ""LAS BRISAS S.R.L.""",549-BFU,GLP,GLP,,,
2026-09-14,2026-09-14,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,1680.0,L,"PUESTO DE VENTA DE GLP ""SAN VICENTE S.R.L.""",516-NIG,GLP,GLP,,,
2026-09-12,2026-09-12,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,1000.0,L,"DISTRIBUIDORA DE GLP ""LUBRIGAS"" (EDWIN SANTOS ABAN CANDIA)",1191 GKN,GLP,GLP,,,
2026-09-12,2026-09-12,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,6000.0,L,"DISTRIBUIDORA DE GLP ""LUBRIGAS"" (EDWIN SANTOS ABAN CANDIA)",097-UNI,GLP,GLP,,,
2026-09-12,2026-09-12,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,2000.0,L,PEDRO IGNACIO MUIBA (PUESTO DE VENTA GLP) EDWIN SANTOS ABAN CANDIA,1191 GKN,GLP,GLP,,,
2026-09-12,2026-09-12,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,6900.0,L,"DISTRIBUIDORA DE GAS LICUADO ""MAGDAGAS"" - GIANNY VIOLETA RIOS VELIZ",989-XND,GLP,GLP,,,
2026-09-12,2026-09-12,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,2000.0,L,"PUESTO DE VENTA DE GLP ""BELLA VISTA S.R.L.""",1338-TTB,GLP,GLP,,,
2026-09-12,2026-09-12,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,2000.0,L,"PUESTO DE VENTA DE GLP ""SAN VICENTE S.R.L.""",1338-TTB,GLP,GLP,,,
2026-09-12,2026-09-12,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,320.0,L,"PUESTO DE VENTA DE GLP ""LAS BRISAS S.R.L.""",1338-TTB,GLP,GLP,,,
2026-09-12,2026-09-12,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,1680.0,L,"PUESTO DE VENTA DE GLP ""LAS BRISAS S.R.L.""",516-NIG,GLP,GLP,,,
2026-09-12,2026-09-12,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,440.0,L,DISTRIBUIDORA DE GLP ROGAS S.R.L.,1338-TTB,GLP,GLP,,,
2026-09-12,2026-09-12,True,False,Trinidad,GLP DISTRIB. 10 KILOS NAL,1560.0,L,DISTRIBUIDORA DE GLP ROGAS S.R.L.,549-BFU,GLP,GLP,,,
